x,y
942,762
927,753
909,742
886,726
861,707
846,693
820,669
794,644
775,627
748,601
720,575
693,550
668,526
651,510
631,488
612,466
597,445
588,433
578,416
570,405
565,396
561,392
558,389
556,387
555,387
554,386
553,386
553,386
553,385
556,381
567,370
583,356
603,341
619,330
645,312
676,297
712,285
737,279
773,275
807,276
839,281
869,290
887,299
914,316
938,334
952,347
968,365
981,380
990,391
996,398
999,400
1001,402
1002,402
1006,400
1009,395
1017,383
1023,370
1032,356
1041,342
1053,327
1072,308
1096,289
1115,277
1149,263
1186,251
1225,246
1248,245
1283,249
1313,258
1342,270
1359,279
1382,293
1400,309
1413,327
1416,339
1417,361
1410,383
1397,406
1384,422
1361,446
1335,475
1306,502
1287,520
1258,548
1229,575
1197,600
1178,616
1149,640
1123,663
1094,687
1069,708
1056,719
1043,730
1031,740
1022,746
1016,751
1004,763
992,772
986,778
