x,y
941,891
933,882
918,865
908,852
896,838
884,824
871,808
847,783
830,765
812,745
794,724
775,705
746,672
728,651
711,629
693,606
676,586
652,556
637,540
623,525
607,504
597,492
589,483
580,474
570,464
566,460
563,455
561,453
560,453
562,455
564,458
567,461
570,465
576,470
585,478
595,483
607,489
631,501
645,507
660,509
674,513
692,516
717,516
735,513
757,508
780,501
805,489
844,466
869,448
892,429
911,407
934,376
948,355
961,332
972,309
981,285
988,251
991,230
992,212
995,196
999,180
999,170
999,166
999,165
999,164
1000,167
1005,176
1011,189
1019,203
1031,229
1041,246
1054,263
1068,282
1095,311
1116,330
1140,349
1167,366
1197,384
1241,407
1275,422
1308,439
1339,452
1386,468
1418,475
1450,482
1496,487
1524,489
1548,490
1568,489
1590,489
1601,487
1608,486
1612,485
1613,483
1611,482
1602,480
1590,479
1566,482
1547,484
1527,485
1496,488
1476,492
1453,498
1426,506
1385,520
1357,530
1331,541
1308,555
1288,570
1264,593
1253,609
1247,622
1243,637
1242,663
1245,682
1248,699
1255,716
1269,739
1282,753
1293,767
1306,779
1320,791
1337,809
1346,819
1354,828
1361,834
1365,840
1365,842
1365,843
1361,838
1355,833
1346,827
1324,817
1305,811
1286,806
1264,801
1243,799
1207,799
1179,802
1151,809
1124,816
1097,825
1062,839
1043,848
1028,858
1013,868
993,883
983,892
